Field 1,url,title,content,group
0,https://www.douban.com/group/topic/132654068/,开贴来跟朋友们讲讲关心的球鞋问题（不管是送男友自穿都可以学习！）包括解答，有疑问可以提问！,"今天没事跟大家来唠嗑唠嗑关于球鞋的问题，下面会分为几个板块，球鞋的类型，购买途径，我的推荐，我对球鞋的看法。（随便唠唠，没有啥规律，语言比较乱）

一、球鞋的类型

通过包括抖音，微博在内的各种社交媒体，球鞋文...",生活组小组
1,https://www.douban.com/group/topic/132553197/,琴叶榕养殖的一些小经验,没错，只有像我这种半吊子才会发经验贴。18年3月买了三株青菜大小的琴叶榕，买如此小的苗是因为大苗万一养死了会很肉疼。我妈一度以为那是青菜，卖家给的盆是营养钵，换了三个20×20×20的塑...,迷恋植物的人小组
2,https://www.douban.com/group/topic/132630253/,鹅们有没有喜欢的关于“宇宙”的句子,"最近《流浪地球》有感

看到很多关于宇宙的句子

总觉得关于宇宙的句子都很浪漫

鹅们有没有喜欢的关于宇宙的句子鸭

露珠先来几个

“男人的浪漫是机器人和宇宙战舰”

“很多人不知道，...",豆瓣鹅组小组
3,https://www.douban.com/group/topic/132551226/,猪猪女孩向精致女孩进阶的分享&小tips,"小技巧的分享

（1）底妆少量多次上最好，一次上太厚很容易浮粉卡纹。脸上哪里最需要遮瑕，粉底第一下就从哪里涂（蘸粉量最大）。

（1/2）粉底液会稀释掉防晒，所以使用粉底液的话，出门最...",生活组小组
4,https://www.douban.com/group/topic/132477601/,给女儿做了个迷你小屋,"原本想买一个，淘了下价格有点坑，自己画草图自己一边琢磨一边修改，中途小宝贝还提出各种要求_⊙∀⊙？要房顶有树藤有花有鸟窝，现在正在研究沙盘了.....

“我要先研究下.... emmmm”",木工DIY小组
5,https://www.douban.com/group/topic/132357714/,小红书上的🐷和我妈做的🐷,"接下来，硬核佩奇出场了！高能预警！

我朋友圈有人说是家养猪和野猪的区别😂😂😂还有人关注十分钟之后出锅吗

更新了！谢谢大家关注！顺便也发了失败厨艺大赏了，欢迎大家去我主页...",生活组小组
6,https://www.douban.com/group/topic/131891759/,这些影视圈预备役你们最看好谁？新增了两个美女（欢迎补充）,"最后新增的两位mm很有特点 可以看一下

• 1. 林博洋 厦门人，宋祖儿室友，北电18级表演专业全国第九。听说家底殷实，在影视圈都有关系。

• 2. 胡连馨，深圳人，中戏18级话剧影视表演...",小象八卦小组
7,https://www.douban.com/group/topic/132624770/,买房了的仙女能给我一些你觉得很重要的tips吗？谢谢！！,"坐标北京。准备今年买个小户型自己住。纠结一室一厅or两室一厅。

买房了的仙女都来说说吧！比如说看房需要关注的啊中jie啊装修啊神马的都可以！！进来的都是小仙女！！你们的建议我都有在认...",生活组小组
8,https://www.douban.com/group/topic/130444864/,【资源】2019年活页效率手册 参考KOKUYO自改自用 A6,"这套17年就参考kokuyo biz和diyfish结合自己需要改了，

今年上班自用良好。2019年也来了，于是又做了一份。

但是打印机坏了还没印……想着分享一下吧。

毕竟今年手熟很快就做好了哈哈哈。...",手帳小组
9,https://www.douban.com/group/topic/130736643/,【读后感】子弹笔记：比效率APP更强大的是你的笔记本,"最近看了bullet journal创始人出的新书《子弹笔记》，想和大家分享读后感和从书中学到的一些干货~



科技无孔不入的今天，我们不断被各种事物分散注意力。时间不够用、事情记不住、计划变...",笔记整理术小组
10,https://www.douban.com/group/topic/132595862/,用数学推导出被喜欢的人拒绝怎么办,"用的方法是马丁加德纳的秘书问题。

秘书问题是在无法反悔的选择中选出最优解的办法。具体做法是先选出一个样本区间来观察，无论样本多么优秀都全部拒绝，然后在备选区间里选择，只要备选区...",生活组小组
